from_address,token,amount,nonce,label
0x5B38Da6a701c568545dCfcB03FcB875f56beddC4,0x722dd3F80BAC40c951b51BdD28Dd19d435762180,5,100,0
0xAb8483F64d9C6d1EcF9b849Ae677dD3315835cb2,0x722dd3F80BAC40c951b51BdD28Dd19d435762180,57,101,0
0x5B38Da6a701c568545dCfcB03FcB875f56beddC4,0x722dd3F80BAC40c951b51BdD28Dd19d435762180,101,102,1
0x5B38Da6a701c568545dCfcB03FcB875f56beddC4,0x14723A09ACff6D2A60DcdF7aA4AFf308FDDC160C,150,103,1
0xAb8483F64d9C6d1EcF9b849Ae677dD3315835cb2,0x14723A09ACff6D2A60DcdF7aA4AFf308FDDC160C,170,104,1
0xAb8483F64d9C6d1EcF9b849Ae677dD3315835cb2,0x14723A09ACff6D2A60DcdF7aA4AFf308FDDC160C,200,105,1
0xAb8483F64d9C6d1EcF9b849Ae677dD3315835cb2,0x14723A09ACff6D2A60DcdF7aA4AFf308FDDC160C,300,106,1
0xAb8483F64d9C6d1EcF9b849Ae677dD3315835cb2,0x722dd3F80BAC40c951b51BdD28Dd19d435762180,20,107,0
0x5B38Da6a701c568545dCfcB03FcB875f56beddC4,0x14723A09ACff6D2A60DcdF7aA4AFf308FDDC160C,300,108,1
0xAb8483F64d9C6d1EcF9b849Ae677dD3315835cb2,0x722dd3F80BAC40c951b51BdD28Dd19d435762180,99,109,0
0xAb8483F64d9C6d1EcF9b849Ae677dD3315835cb2,0x722dd3F80BAC40c951b51BdD28Dd19d435762180,101,110,1
0x5B38Da6a701c568545dCfcB03FcB875f56beddC4,0x722dd3F80BAC40c951b51BdD28Dd19d435762180,1000,111,1
0x5B38Da6a701c568545dCfcB03FcB875f56beddC4,0x722dd3F80BAC40c951b51BdD28Dd19d435762180,30,112,0
0x5B38Da6a701c568545dCfcB03FcB875f56beddC4,0x722dd3F80BAC40c951b51BdD28Dd19d435762180,5,113,0
0xAb8483F64d9C6d1EcF9b849Ae677dD3315835cb2,0x722dd3F80BAC40c951b51BdD28Dd19d435762180,57,114,0
0x5B38Da6a701c568545dCfcB03FcB875f56beddC4,0x722dd3F80BAC40c951b51BdD28Dd19d435762180,101,115,1
0x5B38Da6a701c568545dCfcB03FcB875f56beddC4,0x14723A09ACff6D2A60DcdF7aA4AFf308FDDC160C,150,116,1
0xAb8483F64d9C6d1EcF9b849Ae677dD3315835cb2,0x14723A09ACff6D2A60DcdF7aA4AFf308FDDC160C,170,117,1
0xAb8483F64d9C6d1EcF9b849Ae677dD3315835cb2,0x14723A09ACff6D2A60DcdF7aA4AFf308FDDC160C,200,118,1
0xAb8483F64d9C6d1EcF9b849Ae677dD3315835cb2,0x14723A09ACff6D2A60DcdF7aA4AFf308FDDC160C,300,119,1
0xAb8483F64d9C6d1EcF9b849Ae677dD3315835cb2,0x722dd3F80BAC40c951b51BdD28Dd19d435762180,20,120,0
0x5B38Da6a701c568545dCfcB03FcB875f56beddC4,0x14723A09ACff6D2A60DcdF7aA4AFf308FDDC160C,300,121,1
0xAb8483F64d9C6d1EcF9b849Ae677dD3315835cb2,0x722dd3F80BAC40c951b51BdD28Dd19d435762180,99,122,0
0xAb8483F64d9C6d1EcF9b849Ae677dD3315835cb2,0x722dd3F80BAC40c951b51BdD28Dd19d435762180,101,123,1
0x5B38Da6a701c568545dCfcB03FcB875f56beddC4,0x722dd3F80BAC40c951b51BdD28Dd19d435762180,990,124,1
0x5B38Da6a701c568545dCfcB03FcB875f56beddC4,0x722dd3F80BAC40c951b51BdD28Dd19d435762180,30,125,0
